123748792 SMAU101010 10.10.2022.,13:10 1234567 1000000
712842173 SMAU121010 11.10.2022.,11:10 1242227 1000000
123153543 SMAU153010 12.10.2022.,13:10 1234347 1000000
643445555 SMAU578010 13.10.2022.,15:10 1645227 1000000
122333333 SMAU785410 14.10.2022.,13:20 1237643 1000000
457788887 SMAU106560 15.10.2022.,13:30 1234112 1000000
888881231 SMAU113330 16.10.2022.,11:10 1230694 1000000
556477755 SMAU111110 16.10.2022.,14:10 5434567 1000000
555555552 SMAU122220 17.10.2022.,09:10 1256547 1000000
121111112 SMAU104560 18.10.2022.,12:10 1233243 1000000
121123211 SMAU104560 18.10.2022.,12:10 1233243 1000000
121111112 SMAU123121 18.10.2022.,12:10 1233243 1000000
121155555 SMAU113330 18.10.2022.,12:10 1233243 1000000
